Location,Year,Month,AvgMaxTemp,AvgMinTemp,AvgPrecipitation
San Diego,2023,1,14.61290322580645,2.2419354838709675,10.28064516129032
Dallas,2023,1,11.845161290322578,-0.5451612903225806,11.158064516129032
Phoenix,2023,1,20.535483870967745,3.777419354838711,17.235483870967744
San Jose,2023,1,21.035483870967738,0.27096774193548384,18.39354838709677
San Antonio,2023,1,15.883870967741936,0.7290322580645159,18.35483870967742
Los Angeles,2023,1,14.77419354838709,2.196774193548387,9.654838709677417
New York,2023,1,20.11935483870968,5.6096774193548375,11.945161290322583
Philadelphia,2023,1,16.887096774193548,5.54516129032258,11.080645161290322
Houston,2023,1,21.36451612903226,-2.04516129032258,12.845161290322581
Chicago,2023,1,15.799999999999999,0.48064516129032303,16.858064516129033
San Diego,2023,2,23.99642857142857,9.189285714285715,13.657142857142855
San Jose,2023,2,15.842857142857145,-1.1321428571428573,12.821428571428571
Houston,2023,2,15.464285714285717,-2.0535714285714284,24.407142857142855
Chicago,2023,2,13.049999999999997,1.3678571428571427,20.178571428571427
Philadelphia,2023,2,11.282142857142855,-4.45714285714286,8.164285714285715
Dallas,2023,2,13.174999999999999,0.5107142857142859,17.164285714285715
Phoenix,2023,2,17.22857142857143,0.8607142857142858,15.392857142857144
San Antonio,2023,2,18.282142857142855,1.332142857142857,17.607142857142858
New York,2023,2,19.28571428571428,2.150000000000001,7.685714285714286
Los Angeles,2023,2,17.867857142857144,-0.03214285714285751,12.499999999999998
San Diego,2023,3,19.858064516129037,1.7935483870967746,16.38709677419355
Philadelphia,2023,3,24.848387096774196,7.25806451612903,13.419354838709676
Houston,2023,3,19.687096774193545,3.558064516129033,14.635483870967743
New York,2023,3,18.98709677419355,2.0096774193548392,14.041935483870967
Los Angeles,2023,3,20.958064516129035,-0.07096774193548339,14.345161290322581
San Jose,2023,3,12.64516129032258,-4.161290322580646,16.44516129032258
Phoenix,2023,3,16.677419354838708,1.116129032258064,17.42258064516129
Chicago,2023,3,14.106451612903227,-1.6838709677419355,17.716129032258067
San Antonio,2023,3,16.11935483870968,2.7967741935483867,18.587096774193547
Dallas,2023,3,17.906451612903226,-0.01935483870967752,17.229032258064514
Dallas,2023,4,19.459999999999997,4.029999999999999,7.883333333333334
San Jose,2023,4,13.209999999999999,-0.7633333333333331,22.650000000000002
New York,2023,4,9.589999999999998,-4.213333333333333,16.46
Phoenix,2023,4,19.15666666666667,1.2700000000000002,16.206666666666667
Los Angeles,2023,4,19.383333333333333,2.7399999999999998,8.553333333333335
San Antonio,2023,4,16.469999999999995,3.0166666666666657,11.080000000000002
San Diego,2023,4,15.936666666666666,2.15,12.933333333333334
Philadelphia,2023,4,18.630000000000003,-2.8333333333333335,14.496666666666666
Chicago,2023,4,17.436666666666667,2.3833333333333333,12.596666666666666
Houston,2023,4,17.689999999999998,2.27,20.353333333333335
San Diego,2023,5,20.932258064516123,6.0774193548387085,13.100000000000001
Houston,2023,5,16.44516129032258,-3.7838709677419353,18.28064516129032
New York,2023,5,14.516129032258062,-1.8322580645161293,13.267741935483869
Chicago,2023,5,18.164516129032254,2.3741935483870966,14.593548387096773
Los Angeles,2023,5,20.222580645161287,4.287096774193549,12.896774193548387
Phoenix,2023,5,16.90967741935484,0.7483870967741933,11.622580645161293
San Antonio,2023,5,17.629032258064516,-3.251612903225804,16.60967741935484
Dallas,2023,5,15.341935483870971,1.096774193548387,3.290322580645162
San Jose,2023,5,18.75483870967742,4.9709677419354845,11.56774193548387
Philadelphia,2023,5,17.04516129032258,1.3580645161290326,17.40967741935484
San Diego,2023,6,14.95,1.8300000000000003,14.203333333333331
San Jose,2023,6,16.48666666666666,1.9433333333333338,13.063333333333333
